"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/17 9:21:11 PM UTC+1","Homme","16 à 29 ans","43100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/18 8:48:43 AM UTC+1","Femme","30 à 49 ans","94000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/18 10:27:43 AM UTC+1","Homme","30 à 49 ans","59215","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Non","Oui","Non","Non","Non","Site web"
"2020/10/18 11:03:58 AM UTC+1","Femme","30 à 49 ans","56250","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/18 11:57:32 AM UTC+1","Homme","50 à 64 ans","85600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Vidéo"
"2020/10/18 1:58:58 PM UTC+1","Homme","> 65 ans","42000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Dépliant"
"2020/10/18 6:58:18 PM UTC+1","Femme","50 à 64 ans","11370","Non","Oui, elle se déplace","Phénomènes naturels","Non","Oui","Oui","Oui","Non","Non","Publication réseaux sociaux"
"2020/10/18 9:55:58 PM UTC+1","Femme","16 à 29 ans","35600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Vidéo"
"2020/10/19 4:59:09 PM UTC+1","Femme","16 à 29 ans","56920","Non","Oui, elle se déplace","Activités humaines","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/22 9:09:12 AM UTC+1","Homme","16 à 29 ans","64600","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Stand;Exposition;Vidéo"
"2020/10/22 5:19:44 PM UTC+1","Homme","> 65 ans","44760","Non","Je ne sais pas","Phénomènes naturels","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/22 8:08:32 PM UTC+1","Homme","16 à 29 ans","86000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/22 8:34:41 PM UTC+1","Femme","16 à 29 ans","86000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Je ne sais pas","Non","Non","Site web;Stand;Exposition"
"2020/10/23 7:11:39 AM UTC+1","Femme","16 à 29 ans","59227 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/23 7:31:04 AM UTC+1","Femme","30 à 49 ans","59282","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Non","Non","Non","Site web"
"2020/10/23 7:31:57 AM UTC+1","Femme","16 à 29 ans","13011","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/23 8:10:28 AM UTC+1","Femme","16 à 29 ans","86000 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Stand;Exposition"
"2020/10/23 11:14:39 PM UTC+1","Femme","50 à 64 ans","56250","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/24 8:38:28 AM UTC+1","Homme","50 à 64 ans","86360","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Exposition;Actualités tv"
"2020/10/24 8:39:46 AM UTC+1","Homme","> 65 ans","44340","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/24 9:24:17 AM UTC+1","Homme","30 à 49 ans","56190","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/24 11:43:29 AM UTC+1","Homme","50 à 64 ans","59770","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/24 11:57:55 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/25 4:45:53 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/25 9:11:30 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/27 10:41:41 AM UTC+1","Homme","16 à 29 ans","59000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/28 1:57:25 PM UTC+1","Homme","16 à 29 ans","29250","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/28 3:51:49 PM UTC+1","Femme","30 à 49 ans","56610","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/31 10:34:55 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition"
"2020/11/09 1:36:39 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/11/19 4:30:50 PM UTC+1","Femme","16 à 29 ans","29260","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/11/28 5:37:04 PM UTC+1","Femme","30 à 49 ans","44000","Non","Je ne sais pas","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Exposition"
"2020/12/01 10:09:56 PM UTC+1","Homme","50 à 64 ans","66470","Oui","Oui, elle se déplace","Changements climatiques","Oui","Non","Oui","Non","Non","Non","Application sur smartphone;Site web;Vidéo"
"2020/12/09 11:19:38 AM UTC+1","Femme","16 à 29 ans","56220","Non","Oui, elle se déplace","Activités humaines","Je ne sais pas","Non","Oui","Non","Oui","Non","Application sur smartphone"
"2021/01/04 9:05:18 PM UTC+1","Homme","16 à 29 ans","56250","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
