"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/12 12:46:56 PM UTC+1","Femme","30 à 49 ans","56190","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Dépliant"
"2020/10/12 12:54:46 PM UTC+1","Homme","50 à 64 ans","67200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Vidéo;Newsletter"
"2020/10/12 1:33:22 PM UTC+1","Homme","> 65 ans","75015","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 1:37:35 PM UTC+1","Femme","> 65 ans","75015","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Exposition"
"2020/10/12 1:41:01 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Non","Hologramme de la montee des eaux sur un support physique. "
"2020/10/12 1:41:10 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Subsidence, résonnance des houles","Non","Oui","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Modélisation de la montée des eaux en 3D"
"2020/10/12 1:43:26 PM UTC+1","Femme","16 à 29 ans","29000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 1:45:28 PM UTC+1","Femme","30 à 49 ans","44600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales","Site web;Exposition"
"2020/10/12 2:00:17 PM UTC+1","Homme","16 à 29 ans","29200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/12 2:37:21 PM UTC+1","Femme","16 à 29 ans","29200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/12 2:43:56 PM UTC+1","Homme","> 65 ans","44690","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Stand;Vidéo"
"2020/10/12 3:18:45 PM UTC+1","Homme","30 à 49 ans","33130","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Site web;Vidéo"
"2020/10/12 3:20:05 PM UTC+1","Homme","16 à 29 ans","29300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Dépliant;Exposition"
"2020/10/12 3:23:31 PM UTC+1","Homme","16 à 29 ans","29340","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/12 3:25:26 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Application sur smartphone;Site web"
"2020/10/12 3:25:27 PM UTC+1","Homme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Je ne sais pas","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 3:25:47 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/12 3:32:46 PM UTC+1","Homme","16 à 29 ans","56000","Non","Je ne sais pas","Changements climatiques","Je ne sais pas","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone"
"2020/10/12 3:40:29 PM UTC+1","Homme","16 à 29 ans","56660","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 3:49:54 PM UTC+1","Homme","16 à 29 ans","44300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Oui","Non","Site web"
"2020/10/12 3:52:13 PM UTC+1","Femme","16 à 29 ans","29170","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web;Stand;Exposition;Vidéo"
"2020/10/12 3:58:54 PM UTC+1","Homme","16 à 29 ans","7900","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/12 4:08:57 PM UTC+1","Femme","16 à 29 ans","29200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/12 4:11:18 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/12 4:40:39 PM UTC+1","Homme","30 à 49 ans","56740","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 5:13:12 PM UTC+1","Femme","30 à 49 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 5:43:32 PM UTC+1","Femme","16 à 29 ans","86000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/12 6:29:41 PM UTC+1","Femme","16 à 29 ans","35580","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 6:46:07 PM UTC+1","Femme","16 à 29 ans","78170","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Stand;Exposition;Vidéo"
"2020/10/12 6:52:16 PM UTC+1","Homme","16 à 29 ans","35136","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Exposition"
"2020/10/12 6:55:57 PM UTC+1","Femme","16 à 29 ans","97620","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Subsidance, mouvements tectoniques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition"
"2020/10/12 7:02:41 PM UTC+1","Femme","50 à 64 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 7:02:43 PM UTC+1","Femme","16 à 29 ans","29000","Non","Oui, elle se déplace","Activités humaines","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web;Exposition"
"2020/10/12 7:08:22 PM UTC+1","Homme","16 à 29 ans","35136","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Exposition"
"2020/10/12 7:13:34 PM UTC+1","Femme","> 65 ans","56850","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/12 7:36:06 PM UTC+1","Homme","50 à 64 ans","56400","Non","Oui, elle se déplace","Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 7:37:59 PM UTC+1","Homme","16 à 29 ans","56930","Non","Oui, elle se déplace","Changements climatiques","Je ne sais pas","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/12 8:06:02 PM UTC+1","Femme","30 à 49 ans","56190","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Site web"
"2020/10/12 8:30:27 PM UTC+1","Femme","30 à 49 ans","56230","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 8:33:13 PM UTC+1","Homme","16 à 29 ans","64600","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 8:36:25 PM UTC+1","Femme","16 à 29 ans","91360","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 8:41:26 PM UTC+1","Homme","16 à 29 ans","56450","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/12 8:42:01 PM UTC+1","Homme","16 à 29 ans","56290","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Dépliant;Exposition"
"2020/10/12 8:43:15 PM UTC+1","Homme","16 à 29 ans","38300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/12 8:44:02 PM UTC+1","Homme","16 à 29 ans","56450","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/12 8:45:29 PM UTC+1","Femme","16 à 29 ans","56890","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Vidéo"
"2020/10/12 8:45:37 PM UTC+1","Femme","16 à 29 ans","93260","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/12 8:45:39 PM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Changements topologiques (long terme)","Non","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Exposition;Vidéo"
"2020/10/12 8:46:24 PM UTC+1","Femme","16 à 29 ans","56450","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Stand;Dépliant;Exposition"
"2020/10/12 8:46:34 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 8:47:35 PM UTC+1","Femme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Non","Oui","Non","Oui, informations générales","Site web;Dépliant"
"2020/10/12 8:48:08 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Exposition"
"2020/10/12 8:48:39 PM UTC+1","Femme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Stand;Exposition;Vidéo"
"2020/10/12 8:48:58 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Vidéo"
"2020/10/12 8:49:21 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Site web;Dépliant;Vidéo"
"2020/10/12 8:50:59 PM UTC+1","Homme","16 à 29 ans","35400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/12 8:51:31 PM UTC+1","Femme","16 à 29 ans","56450","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/12 8:57:02 PM UTC+1","Femme","16 à 29 ans","56200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/12 8:58:11 PM UTC+1","Femme","16 à 29 ans","56450","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Dépliant"
"2020/10/12 9:02:36 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/12 9:04:17 PM UTC+1","Homme","16 à 29 ans","56800","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/12 9:04:35 PM UTC+1","Homme","16 à 29 ans","56370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/12 9:07:23 PM UTC+1","Femme","16 à 29 ans","53190","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/12 9:10:32 PM UTC+1","Homme","30 à 49 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Autres activités biologiques","Oui","Oui","Oui","Oui","Non","Non","Site web"
"2020/10/12 9:11:24 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/12 9:12:17 PM UTC+1","Homme","16 à 29 ans","79700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Oui, informations générales","Site web"
"2020/10/12 9:14:13 PM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Non","Application sur smartphone;Site web"
"2020/10/12 9:15:29 PM UTC+1","Femme","16 à 29 ans","56860","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 9:18:39 PM UTC+1","Femme","16 à 29 ans","56400","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition"
"2020/10/12 9:20:09 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/12 9:20:29 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/12 9:20:43 PM UTC+1","Homme","30 à 49 ans","56230","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/12 9:21:15 PM UTC+1","Femme","< 16 ans","56890","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web;Dépliant;Exposition;Vidéo"
"2020/10/12 9:24:35 PM UTC+1","Homme","16 à 29 ans","56300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 9:27:42 PM UTC+1","Femme","30 à 49 ans","56230","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/12 9:28:19 PM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 9:30:02 PM UTC+1","Femme","16 à 29 ans","56250","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Application sur smartphone"
"2020/10/12 9:37:28 PM UTC+1","Homme","16 à 29 ans","56880","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/12 9:37:48 PM UTC+1","Homme","16 à 29 ans","56330","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Non","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 9:40:05 PM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales","Vidéo"
"2020/10/12 9:49:14 PM UTC+1","Homme","16 à 29 ans","29340","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Dépliant;Exposition;Vidéo"
"2020/10/12 9:50:03 PM UTC+1","Homme","16 à 29 ans","56","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition"
"2020/10/12 9:55:08 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Non","Non","Non","Site web"
"2020/10/12 10:00:14 PM UTC+1","Femme","16 à 29 ans","56870","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 10:01:55 PM UTC+1","Homme","16 à 29 ans","22400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Vidéo"
"2020/10/12 10:04:12 PM UTC+1","Homme","16 à 29 ans","56420","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Exposition;Vidéo"
"2020/10/12 10:10:43 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Exposition;Vidéo"
"2020/10/12 10:51:29 PM UTC+1","Femme","16 à 29 ans","56680","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 11:16:38 PM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Stand;Exposition;Vidéo"
"2020/10/12 11:56:36 PM UTC+1","Homme","50 à 64 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/13 5:29:25 AM UTC+1","Homme","16 à 29 ans","56330","Non","Oui, elle se déplace","Activités humaines","Oui","Non","Oui","Je ne sais pas","Oui","Oui, informations techniques (instruments de mesure, etc.)","Vidéo"
"2020/10/13 5:39:24 AM UTC+1","Homme","16 à 29 ans","56220","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales","Application sur smartphone;Vidéo"
"2020/10/13 6:01:33 AM UTC+1","Femme","16 à 29 ans","56120","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Affiche "
"2020/10/13 6:27:53 AM UTC+1","Femme","16 à 29 ans","44470","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/13 6:31:46 AM UTC+1","Femme","16 à 29 ans","56330","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/13 6:34:04 AM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Exposition"
"2020/10/13 6:39:04 AM UTC+1","Femme","16 à 29 ans","56460","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition"
"2020/10/13 6:56:22 AM UTC+1","Homme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Non","Oui","Non","Oui","Oui, informations générales","Stand;Je pense que nous avons un très gros problème de vulgarisation scientifique, soit c'est trop compliqué, soit ça ne l'est pas assez, et on omet des informations qui sont cruciales pour la compréhension. De même, trop souvnet au sein de l'éducation, on transmet des informations sous forme de vérité générale avec un soit disant cheminement critique pour que les gens se posent des questions.Cependant j'ai constaté  durant une grosse partie de ma scolarité que ces questions n'allaient que dans un seul sens (le sens qui arrange tout le monde, que personne n'ose remettre en question sous pretexte de bien pensance et de politiquement correcte). De ce faite le débat ne va que dans un seul sens. Je trouve ça très hypocrite. C'est prendre les ges pour des imbéciles, et ça ne m'étonne pas que certaine personne ayant un avie contraire (au réchauffement climatique puisque c'est le sujet, ex : le professeur Gervais) gagnent régulièrement des ""fidèles""."
"2020/10/13 6:57:54 AM UTC+1","Femme","16 à 29 ans","56450","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Vidéo"
"2020/10/13 6:58:46 AM UTC+1","Femme","16 à 29 ans","76140","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/13 7:03:11 AM UTC+1","Femme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/13 7:14:52 AM UTC+1","Femme","16 à 29 ans","56150","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Non","Non","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/13 7:25:05 AM UTC+1","Homme","16 à 29 ans","56890","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Je ne sais pas","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/13 7:47:16 AM UTC+1","Femme","16 à 29 ans","56700","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/13 8:00:38 AM UTC+1","Homme","50 à 64 ans","33210","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/13 8:12:14 AM UTC+1","Femme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Oui","Oui, informations générales","Site web;Stand;Vidéo"
"2020/10/13 8:14:22 AM UTC+1","Femme","16 à 29 ans","56390","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Oui","Non","Vidéo"
